Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Bidir,6,4,2.793208142370196,0.7781512503836436,-5.178146335685175,-1.932198011361408
Gauss,5,5,2.204662511748219,0.6989700043360189,-15.653559774527022,-2.9023351871901446
Power,5,5,2.598352709869284,0.6989700043360189,-5.439954401238146,-2.1683029474526987
Priority,5,5,2.4972061807039543,0.6989700043360189,-4.465102377649294,-2.3434265590374466
Bidir,5,5,2.68859777508117,0.6989700043360189,-4.704232085019457,-2.0495097001425084
Gauss,11,6,3.0453229787866576,1.041392685158225,-15.47746851547134,-1.9180547324066013
Power,11,6,3.0305629251447552,1.041392685158225,-5.507402970672642,-1.4898272987968408
Priority,11,6,2.881540271396987,1.041392685158225,-4.347715196289431,-1.535325784913553
Bidir,11,6,3.1087494766903334,1.041392685158225,-4.5880712109241895,-1.4018042180981645
Gauss,27,3,3.88613127559184,1.4313637641589874,-15.47746851547134,-0.8712299018100143
Power,27,3,3.4227114024346816,1.4313637641589874,-5.447515280873587,-0.7211198541740838
Priority,27,3,3.186234107390809,1.4313637641589874,-4.145211690677487,-0.9869228932065554
Bidir,27,3,3.442096347610037,1.4313637641589874,-4.359374120089073,-0.7162122625785468
Gauss,6,2,2.2265999052073573,0.7781512503836436,-16.277686926107123,-2.591453484780124
Power,6,2,2.8265067216642272,0.7781512503836436,-5.351924544173594,-1.8123601635674167
Priority,6,2,2.676388734581175,0.7781512503836436,-4.281707353187469,-2.021523771000516
Bidir,6,2,2.916278440573439,0.7781512503836436,-4.322579377498151,-1.7909756565464794
Gauss,21,4,3.724529426667464,1.3222192947339193,-15.35252977886304,-1.0913087400245267
Power,21,4,3.286114151796827,1.3222192947339193,-5.704717839663264,-0.9696839044402716
Priority,21,4,3.098462422969932,1.3222192947339193,-4.152652714084044,-1.17529098144374
Bidir,21,4,3.3159803360133164,1.3222192947339193,-4.492207048310189,-0.9396786462405312
Gauss,9,2,2.591435640352701,0.9542425094393248,-15.954589770191005,-2.4274523551048324
Power,9,2,2.86053763630648,0.9542425094393248,-5.786801529362592,-1.5871861387995072
Priority,9,2,2.742288610530282,0.9542425094393248,-4.240274353106412,-1.832592998470937
Bidir,9,2,2.9868712175977765,0.9542425094393248,-4.482976400331857,-1.6408865859798392
Gauss,12,2,2.812913356642856,1.0791812460476249,-15.653559774527022,-2.0321747432733206
Power,12,2,3.053878396706285,1.0791812460476249,-5.470888258140142,-1.4230144115274193
Priority,12,2,2.87761127432287,1.0791812460476249,-4.174310969416806,-1.607493025478781
Bidir,12,2,3.133059642753909,1.0791812460476249,-4.488086503947816,-1.326550001026133
Gauss,16,4,3.3867886957984727,1.2041199826559248,-15.35252977886304,-1.4997366208325889
Power,16,4,3.163664429625229,1.2041199826559248,-5.6556521181164365,-1.2220597542515137
Priority,16,4,2.9902833432540814,1.2041199826559248,-4.289090570334335,-1.394064516530686
Bidir,16,4,3.210886771297903,1.2041199826559248,-4.3221219985927055,-1.137022222717435
Gauss,11,6,3.077533067667552,1.041392685158225,-15.653559774527022,-1.944496754345244
Power,11,6,2.9994469095271152,1.041392685158225,-5.687841254852584,-1.4882851455539698
Priority,11,6,2.832973150571824,1.041392685158225,-4.191943827540624,-1.6693980769069776
Bidir,11,6,3.072249897613515,1.041392685158225,-5.02021880071857,-1.4488590636210372
Gauss,4,4,1.933234128714808,0.6020599913279624,-15.653559774527022,-3.115884368000943
Power,4,4,2.562887381293879,0.6020599913279624,-5.525399449360096,-2.319615120364221
Priority,4,4,2.448319764933496,0.6020599913279624,-4.518779122529557,-2.433141518481209
Bidir,4,4,2.599883072073688,0.6020599913279624,-4.518779122529557,-2.287804214990295
Gauss,2,4,1.1760912590556811,0.3010299956639812,-16.123833615593743,-3.5434786585599616
Power,2,4,2.290034611362518,0.3010299956639812,-5.4028649879915545,-2.707049041946119
Priority,2,4,2.2329961103921536,0.3010299956639812,-4.7832571480583335,-2.8095461505996875
Bidir,2,4,2.431363764158988,0.3010299956639812,-4.783257148055533,-2.6217055062011285
Gauss,3,5,1.619788758288394,0.4771212547196624,-16.538693617010903,-3.3153778575742403
Power,3,5,2.5658478186735176,0.4771212547196624,-5.248757840167386,-2.423453425445929
Priority,3,5,2.4450850227193537,0.4771212547196624,-4.363711752368418,-2.514365553667498
Bidir,3,5,2.686040120257356,0.4771212547196624,-4.616410508446667,-2.287503005072843
Gauss,14,5,3.255341435264852,1.146128035678238,-15.35252977886304,-1.5982317087898814
Power,14,5,3.1239449272915563,1.146128035678238,-5.8042337459995,-1.2200031072419228
Priority,14,5,2.9597907046081344,1.146128035678238,-4.30658165070652,-1.427565965330473
Bidir,14,5,3.1236650081829915,1.146128035678238,-4.33317070812964,-1.2662534890802144
Gauss,4,4,1.8907003976988752,0.6020599913279624,-15.653559774527022,-3.1417909809204185
Power,4,4,2.4734869700645685,0.6020599913279624,-5.300398972024342,-2.408637755907153
Priority,4,4,2.404833716619938,0.6020599913279624,-4.479839897652016,-2.469271925275778
Bidir,4,4,2.628899564420607,0.6020599913279624,-4.602250428710687,-2.2165457119291223
Gauss,5,6,2.115277591395901,0.6989700043360189,-16.23259623468482,-2.922475574985389
Power,5,6,2.5029730590656314,0.6989700043360189,-5.351453733420034,-2.3185788751476646
Priority,5,6,2.45178643552429,0.6989700043360189,-4.654236204549983,-2.378036476175236
Bidir,5,6,2.671172842715084,0.6989700043360189,-4.654236204549983,-2.1113649099113165
Gauss,13,4,3.188495811763021,1.1139433523068367,-15.47746851547134,-1.7872737629297666
Power,13,4,3.0176432359329715,1.1139433523068367,-5.708969499274783,-1.4046814095837126
Priority,13,4,2.869998506677052,1.1139433523068367,-4.3693774630950415,-1.5606197162478863
Bidir,13,4,3.115636110358808,1.1139433523068367,-4.738975009353913,-1.3183288197478369
Gauss,5,4,2.056142262059052,0.6989700043360189,-16.06281920301377,-2.981185794103487
Power,5,4,2.7993405494535817,0.6989700043360189,-5.24273730916029,-2.0113296569558403
Priority,5,4,2.658393026279124,0.6989700043360189,-4.35290952428783,-2.0994338626418854
Bidir,5,4,2.918973430492954,0.6989700043360189,-4.371245717121186,-1.844921430081342
Gauss,23,2,3.463600895387696,1.3617278360175928,-15.653559774527022,-1.145098787638848
Power,23,2,3.3420105063383385,1.3617278360175928,-5.365794850254937,-0.9094458187023838
Priority,23,2,3.120316367998595,1.3617278360175928,-4.250209693423269,-1.0696864514864286
Bidir,23,2,3.381342708652693,1.3617278360175928,-4.696838967335952,-0.8548371478440574
Gauss,7,5,2.437524072863806,0.8450980400142568,-15.47746851547134,-2.605334350045864
Power,7,5,2.725094521081469,0.8450980400142568,-5.486910481673541,-1.9113336172136823
Priority,7,5,2.6220659259548333,0.8450980400142568,-4.240372878267771,-2.036951077701934
Bidir,7,5,2.8188854145940097,0.8450980400142568,-4.602749637181729,-1.8584987223706813
Gauss,17,5,3.4527422570815816,1.230448921378274,-15.47746851547134,-1.457596695965962
Power,17,5,3.190150360913166,1.230448921378274,-5.70389895170564,-1.0862252030907833
Priority,17,5,3.015828024055787,1.230448921378274,-4.312369913377311,-1.3232158043836433
Bidir,17,5,3.268798146529842,1.230448921378274,-4.405437823978722,-0.9857198953729904
Gauss,14,6,3.333087252523133,1.146128035678238,-15.653559774527022,-1.6585747817335614
Power,14,6,3.0521440627911085,1.146128035678238,-5.765243432890603,-1.3736818087149327
Priority,14,6,2.910700616959573,1.146128035678238,-4.348176845599583,-1.4574215155629378
Bidir,14,6,3.1336757443158656,1.146128035678238,-4.4735610918346165,-1.279349801445245
Gauss,15,3,3.2510214169990284,1.1760912590556811,-15.653559774527022,-1.6278194498799252
Power,15,3,3.1164970534098733,1.1760912590556811,-5.70472833949946,-1.2990695784781627
Priority,15,3,2.956008262860823,1.1760912590556811,-4.270915486016108,-1.3021750423712624
Bidir,15,3,3.149793684913318,1.1760912590556811,-4.52376613415105,-1.2255858733436384
Gauss,27,5,4.076598644977879,1.4313637641589874,-15.35252977886304,-0.7154721985714286
Power,27,5,3.438600942213332,1.4313637641589874,-5.927861805938154,-0.7237795672287725
Priority,27,5,3.225184796773138,1.4313637641589874,-4.226068809170412,-0.8730882193924145
Bidir,27,5,3.460229440189978,1.4313637641589874,-4.593852244804321,-0.6891462966787599
Gauss,6,2,2.1367205671564067,0.7781512503836436,-16.09170192114639,-2.8620866506631923
Power,6,2,2.7054360465852505,0.7781512503836436,-5.554130357409146,-1.978921082864022
Priority,6,2,2.598243191653623,0.7781512503836436,-4.4079677334516045,-2.0988874329170044
Bidir,6,2,2.808098388482398,0.7781512503836436,-4.46811060156905,-1.9180461585769168
Gauss,15,3,3.247236549506764,1.1760912590556811,-15.653559774527022,-1.6698480954632076
Power,15,3,3.111643306740808,1.1760912590556811,-5.637448400051008,-1.3027505710250455
Priority,15,3,2.933115937264384,1.1760912590556811,-4.241201329437101,-1.4049628135979524
Bidir,15,3,3.168733128934079,1.1760912590556811,-4.540952759387535,-1.222405205582907
Gauss,2,3,1.0791812460476249,0.3010299956639812,-17.146184487646696,-3.5507778973014608
Power,2,3,2.0211892990699383,0.3010299956639812,-5.21338112975641,-2.964934950402478
Priority,2,3,1.9822712330395684,0.3010299956639812,-5.217567024990302,-3.016601155197272
Bidir,2,3,2.167317334748176,0.3010299956639812,-5.217567024990302,-2.848142938879037
Gauss,6,3,2.282924073246148,0.7781512503836436,-15.653559774527022,-2.599242814766481
Power,6,3,2.666829861704301,0.7781512503836436,-5.627906662855769,-2.037729676656856
Priority,6,3,2.5856486950954656,0.7781512503836436,-4.405970317421187,-2.100072234151082
Bidir,6,3,2.813803304663092,0.7781512503836436,-4.603801585806568,-1.9162408557738184
Gauss,37,6,4.473692963435727,1.568201724066995,-15.17643851980736,-0.2366338372420885
Power,37,6,3.5562059801575105,1.568201724066995,-6.130811221699769,-0.4853852523384416
Priority,37,6,3.341377990539802,1.568201724066995,-4.2445302202620985,-0.4898807176900769
Bidir,37,6,3.589515568503917,1.568201724066995,-4.416227336299986,-0.1836872716756306
Gauss,37,4,4.356324212568111,1.568201724066995,-15.35252977886304,-0.0913672632004077
Power,37,4,3.5039229156102074,1.568201724066995,-5.899781229140397,-0.289449490985383
Priority,37,4,3.278014999159069,1.568201724066995,-4.202801168709674,-0.5331921324584745
Bidir,37,4,3.540318746923129,1.568201724066995,-4.406602173607243,-0.2393652862438752
Gauss,2,3,1.0791812460476249,0.3010299956639812,-17.48918064802659,-3.4515187535792045
Power,2,3,2.2329961103921536,0.3010299956639812,-5.0657054605636525,-2.607593690596437
Priority,2,3,2.1760912590556813,0.3010299956639812,-4.611723415215496,-2.6092327775368904
Bidir,2,3,2.3961993470957363,0.3010299956639812,-5.152306809391516,-2.430538682475881
Gauss,16,5,3.383534868339793,1.2041199826559248,-15.653559774527022,-1.292390243522337
Power,16,5,3.201226377519784,1.2041199826559248,-5.668134709731827,-0.9014339613122496
Priority,16,5,3.0199207559717696,1.2041199826559248,-4.312263621800086,-1.098462473854353
Bidir,16,5,3.230816000505792,1.2041199826559248,-4.597173837142818,-0.8533224645500903
Gauss,24,3,3.708873939145052,1.380211241711606,-15.35252977886304,-0.785148484722439
Power,24,3,3.283301228703549,1.380211241711606,-5.675411311619984,-0.6620117352217848
Priority,24,3,3.099292087940817,1.380211241711606,-4.30870357454491,-1.030144507362321
Bidir,24,3,3.3275547485312384,1.380211241711606,-4.542654825854624,-0.8694285598178106
Gauss,16,6,3.460079953282394,1.2041199826559248,-15.653559774527022,-1.477640734263136
Power,16,6,3.271217004434696,1.2041199826559248,-5.572122333377431,-1.1095568881370554
Priority,16,6,3.073649627427726,1.2041199826559248,-4.213498247854589,-1.307893403589819
Bidir,16,6,3.325810600204299,1.2041199826559248,-4.351695385707433,-1.013595081198088
Gauss,12,2,2.785389160805805,1.0791812460476249,-15.653559774527022,-2.044605495017705
Power,12,2,3.082665713480894,1.0791812460476249,-5.421778747305572,-1.4285231328722696
Priority,12,2,2.926342446625655,1.0791812460476249,-4.237381599026889,-1.579836407202963
Bidir,12,2,3.1591158218277693,1.0791812460476249,-4.216163226198087,-1.3456079530000644
Gauss,10,6,2.906981153228854,1.0,-15.653559774527022,-2.0568474918187225
Power,10,6,3.064158372463118,1.0,-5.708831314701345,-1.32393560796483
Priority,10,6,2.885587356189656,1.0,-4.213545631493908,-1.6934096200775577
Bidir,10,6,3.174699288370776,1.0,-4.347739070120804,-1.3959311477505956
Gauss,11,6,3.03342375548695,1.041392685158225,-15.47746851547134,-1.9482213276480096
Power,11,6,3.009759837289156,1.041392685158225,-5.630562688489679,-1.3575353514484054
Priority,11,6,2.861860131735733,1.041392685158225,-4.3158407749155385,-1.619496759207045
Bidir,11,6,3.093262457119424,1.041392685158225,-4.389973877925051,-1.4250540921248065
Gauss,13,5,3.2047667666115043,1.1139433523068367,-15.35252977886304,-1.7947222846401054
Power,13,5,3.085153303998779,1.1139433523068367,-5.590809786376863,-1.3567059063728366
Priority,13,5,2.8921802539050177,1.1139433523068367,-4.345357094466652,-1.5490845101482733
Bidir,13,5,3.091964410320549,1.1139433523068367,-4.654963186706404,-1.332111125805589
Gauss,17,6,3.5368628173116927,1.230448921378274,-15.35252977886304,-1.398031033275
Power,17,6,3.254931748332664,1.230448921378274,-5.786064629009965,-1.0928306035586834
Priority,17,6,3.0503570070153927,1.230448921378274,-4.304590618973583,-1.2795429079190257
Bidir,17,6,3.2642064927785865,1.230448921378274,-4.662752619459711,-1.0673163223107367
Gauss,7,2,2.351354501689132,0.8450980400142568,-15.653559774527022,-2.6996232359368006
Power,7,2,2.807728262546748,0.8450980400142568,-5.432449718893442,-1.8280463977303325
Priority,7,2,2.713610530518909,0.8450980400142568,-4.445915448745939,-1.948699504054812
Bidir,7,2,2.900289081305752,0.8450980400142568,-4.738747385189915,-1.776644611300883
Gauss,4,3,1.8293037728310249,0.6020599913279624,-16.318808771012506,-3.136796575010252
Power,4,3,2.3473300153169503,0.6020599913279624,-5.428038766247828,-2.459170546414888
Priority,4,3,2.2534591643398376,0.6020599913279624,-4.669710657231836,-2.5104907566059267
Bidir,4,3,2.4720246977002813,0.6020599913279624,-4.911605347662295,-2.400307665359783
Gauss,2,3,1.1760912590556811,0.3010299956639812,-16.070037495117713,-3.325994714346056
Power,2,3,2.290034611362518,0.3010299956639812,-5.379605564083777,-2.7696312898945967
Priority,2,3,2.2367890994092927,0.3010299956639812,-4.60318884870199,-2.822080283038456
Bidir,2,3,2.433769833924866,0.3010299956639812,-4.636757180549861,-2.6253609121980723
Gauss,4,3,1.9057958803678683,0.6020599913279624,-15.47746851547134,-3.1477155691421985
Power,4,3,2.6148972160331345,0.6020599913279624,-5.3640321382540925,-2.141504033779551
Priority,4,3,2.546542663478131,0.6020599913279624,-4.362042551539428,-2.3526802279622623
Bidir,4,3,2.73559889969818,0.6020599913279624,-4.399504848266478,-2.0694689034786147
Gauss,24,6,3.994146613504628,1.380211241711606,-15.35252977886304,-0.8555641757709593
