Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Priority,103,3,3.8946621416587672,2.0055141635516702,-4.0344229487532575,-1.937820026513978
Bidir,103,3,4.165251747362004,2.008600171761917,-4.175495081715606,-1.692474685604199
Power,103,3,4.212216467597496,2.0128372247051725,-6.277391432978249,-1.6876063153765213
Priority,103,3,3.88268894045134,2.007178584627124,-4.028620947439342,-1.958032552007468
Bidir,103,3,4.167432212273487,2.0128372247051725,-4.458840211801687,-1.6841315625625728
Power,104,3,4.241247551263716,2.01703333929878,-6.125488651981821,-1.6598960785099477
Priority,104,3,3.9019212493762616,2.0087184275780063,-4.066193816430794,-1.93490582852974
Bidir,104,3,4.179681026244821,2.01703333929878,-4.44909482896742,-1.674392869335315
Power,106,3,4.231080034632385,2.02530586526477,-6.320120201692462,-1.54842073366161
Priority,106,3,3.882889616827087,2.01528988259402,-4.028993072229766,-1.7180396177001294
Bidir,106,3,4.174391776953791,2.02530586526477,-4.509504376927817,-1.4337604684825094
Power,106,4,4.308841761261316,2.02530586526477,-5.3940782865433885,-1.327217246925016
Priority,106,4,3.9613446177524576,2.023938007498089,-4.054649404146268,-1.8585597741722848
Bidir,106,4,4.242277712834937,2.02530586526477,-4.277821865755151,-1.6240647040932688
Power,107,5,4.273176884543844,2.0293837776852097,-6.199429136218236,-1.6373061683410317
Priority,107,5,3.961487011116268,2.0292710178554443,-4.152026282543923,-1.866680932330107
Bidir,107,5,4.196350463751482,2.0293837776852097,-4.385193591242368,-1.666982708521029
Power,107,4,4.250212564961979,2.0293837776852097,-6.384682050675315,-1.6595649832471386
Priority,107,4,3.936191085274544,2.0292710178554443,-4.0320340447044405,-1.888403616366272
Bidir,107,4,4.210360885777588,2.0293837776852097,-4.361617343740617,-1.650471470927835
Power,107,2,4.221274377428155,2.0293837776852097,-5.788179172105705,-1.68830469877643
Priority,107,2,3.762622304321709,1.928566531953116,-4.002642942703448,-2.0278942447665664
Bidir,107,2,4.005771376474977,1.90203312522466,-4.157440535656151,-1.8422505737194568
Power,108,2,4.240239224444824,2.03342375548695,-5.100288823799564,-1.6549855895361425
Priority,108,2,3.729095012482391,1.8833459287961865,-3.931237572604192,-2.0671080143538894
Bidir,108,2,3.9978206558674767,1.9424214699806173,-4.287770488939717,-1.8075749460664725
Power,110,3,4.253228259937378,2.0413926851582254,-6.1021097583816335,-1.6408683441931402
Priority,110,3,3.9037439520278734,2.034873449544504,-3.9255578246894633,-1.8185632750760496
Bidir,110,3,4.149882538924294,1.9984288759086792,-4.151460565808827,-1.4646103445936998
Power,110,2,4.229386724374412,2.0413926851582254,-6.151043436193152,-1.4115830650579233
Priority,110,2,3.79463712342027,1.960497203314337,-4.007161838279975,-1.7660808720085424
Bidir,110,2,4.113935928406087,2.003245054813147,-4.320234519303072,-1.5623030248178913
Power,111,4,4.304844635924279,2.045322978786657,-5.491968078090339,-1.5970451582469083
Priority,111,4,3.9634900657296215,2.044234793597181,-4.097375790739645,-1.865666256985251
Bidir,111,4,4.279659974397378,2.045322978786657,-4.394681798033192,-1.5824731821029263
Power,111,3,4.270858622974203,2.045322978786657,-5.715945418114693,-1.63545521106094
Priority,111,3,3.920594310483835,2.0396344055018862,-4.0019238592308,-1.8949546659559136
Bidir,111,3,4.226188039468468,2.045322978786657,-4.244801952250227,-1.6193053021421102
Power,111,4,4.294051452067363,2.045322978786657,-5.984569438966971,-1.6056540575764553
Priority,111,4,3.96991655347538,2.044779227016736,-4.009223512507307,-1.8663048814963503
Bidir,111,4,4.22929139043254,2.045322978786657,-4.31126941527303,-1.6267424615910704
Power,111,3,4.278792965042902,2.045322978786657,-6.309868615591838,-1.623117964852288
Priority,111,3,3.9237130704713423,2.039964625628228,-4.058717983748529,-1.912750706453601
Bidir,111,3,4.224534501331861,2.045322978786657,-4.457361383519707,-1.633966954418805
Power,113,3,4.297171815253006,2.0530784434834195,-5.528886173754974,-1.5493136024061784
Priority,113,3,3.931447982268556,2.045214282882723,-4.018485268291353,-1.6552267310453117
Bidir,113,3,4.242188620907802,2.0530784434834195,-4.374643409915538,-1.3755805466426256
Power,113,4,4.281543407860442,2.0530784434834195,-6.216435998549915,-1.3481002878361017
Priority,113,4,3.959155386289096,2.052651198508576,-4.030218778049016,-1.875285001666414
Bidir,113,4,4.25749591416582,2.0530784434834195,-4.279875768203034,-1.6071468177768076
Power,113,5,4.315390666337722,2.0530784434834195,-6.398952217427059,-1.5891903540203922
Priority,113,5,4.000872537367044,2.052864873534732,-4.056165167700418,-1.831992857640484
Bidir,113,5,4.301748399791223,2.0530784434834195,-4.231558998680083,-1.570642122076796
Power,113,4,4.27792549365271,2.0530784434834195,-6.320467738743187,-1.6317615198629314
Priority,113,4,3.9612140494764345,2.0524374183015004,-4.1598576573145385,-1.8572432507829213
Bidir,113,4,4.231715185074926,2.0530784434834195,-4.635727169788797,-1.604270586136065
Power,114,2,4.224840841346865,2.0569048513364727,-5.207763647914552,-1.674265007637693
Priority,114,2,3.775992517284682,1.9618164463758656,-4.027526327155839,-2.033033260062441
Bidir,114,2,4.053806994124173,2.002286082340912,-4.262620455387859,-1.7946953927081566
Power,114,2,4.252975672872847,2.0569048513364727,-5.726860501806209,-1.6522611083364491
Priority,114,2,3.742714223631005,1.895483934757003,-3.963163563063421,-2.0367713582799185
Bidir,114,2,4.035404164535845,1.960761372715368,-4.227530242865144,-1.814989039827066
Power,115,3,4.272375437300545,2.060697840353612,-6.120500204420331,-1.4916341399270583
Priority,115,3,3.921067678103893,2.05233048872275,-3.913753310789589,-1.7103474902027465
Bidir,115,3,4.1559463877173135,2.0308469974870564,-4.24663705887691,-1.473080740343676
Power,116,3,4.3056027240558645,2.064457989226919,-5.744603634030665,-1.326375437200315
Priority,116,3,3.937469132843084,2.05233048872275,-3.957157049789505,-1.887071871277789
Bidir,116,3,4.240649767778917,2.0613267969905547,-4.245841246453101,-1.6190011081387905
Power,116,5,4.318221062859906,2.064457989226919,-6.254840977572369,-1.5860097208220048
Priority,116,5,3.997388811701518,2.064353979052334,-4.098591434666698,-1.8402856329202328
Bidir,116,5,4.272167914412744,2.064457989226919,-4.405864500416748,-1.593790888184253
Power,116,2,4.244956420289933,2.064457989226919,-6.161928781794838,-1.6582460012661544
Priority,116,2,3.774914177668871,1.9468069359040816,-3.9949716161653424,-2.031160602067135
Bidir,116,2,4.0564008451228615,2.006584880526592,-4.0192620520373135,-1.7901258007134933
Power,119,2,4.263526264852904,2.075546961392531,-5.386443121427362,-1.6106447284241097
Priority,119,2,3.756965570419308,1.936737087550364,-3.9899115131730585,-2.0443483534078464
Bidir,119,2,4.165320181679122,2.0300597225405785,-4.302138373353662,-1.6903249796393098
Power,119,3,4.291738746123294,2.075546961392531,-6.371869416725679,-1.6157214349082007
Priority,119,3,3.940277081085394,2.066118773208383,-4.0126392970798666,-1.8936504407767203
Bidir,119,3,4.247339628618571,2.071882007306125,-4.398421272847195,-1.6183286171751683
Power,119,4,4.308260194191058,2.075546961392531,-6.210878234331043,-1.410948153226068
Priority,119,4,3.981695310620312,2.075141268245885,-4.050688872608063,-1.62205123332775
Bidir,119,4,4.27974170236173,2.075546961392531,-4.403466235950194,-1.32670260361372
Power,120,2,4.274966905528702,2.0791812460476247,-5.480121444045144,-1.5086057656608818
Priority,120,2,3.75878577232103,1.9282820285155555,-3.9952377753509865,-2.047958410610536
