Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Priority,234,3,3.859488825335184,2.3145504315460848,-3.971154386892081,0.1275268544049684
Bidir,234,3,4.154098123873086,2.3357559844561755,-4.181552152393507,0.1593505162293411
Power,5,1,2.6074550232146687,0.6989700043360189,-5.402683858477983,-1.9990901817609523
Priority,5,1,2.511348515490213,0.6989700043360189,-4.585277829837524,-2.090236785540484
Bidir,5,1,2.727053011353857,0.6989700043360189,-4.662050797523683,-1.880705091856125
Power,116,3,4.033708500322048,2.064457989226919,-6.086438288925704,-0.0278410046189212
Priority,116,3,3.68083389532737,2.05595140532915,-4.046701515530205,-0.3389514895769963
Bidir,116,3,3.886922924463232,2.036872762710815,-4.398207980848968,-0.1309185792169151
Power,30,2,3.44436753277988,1.4771212547196624,-5.830402452402954,-0.6347064390362157
Priority,30,2,3.204698656268393,1.476155081947642,-4.132038002781215,-0.9427598105446302
Bidir,30,2,3.414722721158878,1.4771212547196624,-4.247984237379181,-0.6963380411465553
Power,30,2,3.436077794897292,1.4771212547196624,-5.3929489148063405,-0.662756982622643
Priority,30,2,3.1733805401587043,1.4688394488579062,-4.017805680191749,-0.987616707514374
Bidir,30,2,3.333326340403454,1.4403842548328842,-4.146246549842902,-0.794713248765216
Power,43,2,3.5756166474737747,1.6334684555795862,-5.456980344460392,-0.493138221328846
Priority,43,2,3.267272325511576,1.6039172763335294,-3.944332555748648,-0.8086808284899067
Bidir,43,2,3.534537379942615,1.6291182240619984,-3.944332555748648,-0.4833029146959916
Power,496,3,4.6643732413655,2.695481676490197,-6.627538969050674,0.8375731694597923
Priority,496,3,4.014715028005197,2.530233410175302,-3.900190639094888,0.0443084228951654
Bidir,496,3,4.26068823062435,2.5111090290935527,-4.330463703844688,0.2723437265326368
Power,48,2,3.647257190952114,1.6812412373755874,-5.5820511496377145,-0.3747747328969253
Priority,48,2,3.333763847142618,1.6622180000621567,-4.0343090506183295,-0.7401234137580595
Bidir,48,2,3.5646153457030425,1.675516481863979,-4.382204598784005,-0.5205875752141222
Power,196,3,4.276267374596046,2.292256071356476,-6.322036584757202,0.2636247356056305
Priority,196,3,3.8319475575930575,2.2584560678088743,-3.931292692646571,-0.1554409887545268
Bidir,196,3,4.143577675504111,2.275529241045097,-4.265014072083368,0.2179200778584743
Power,11,2,2.970600429501032,1.041392685158225,-5.257999969192767,-1.082670990108732
Priority,11,2,2.808517873143271,1.041392685158225,-4.226396014809673,-1.4228636029298678
Bidir,11,2,3.018397854415736,1.041392685158225,-4.643267974937286,-1.143021261439851
Power,132,3,4.07607138836249,2.1205739312058496,-6.167644274838465,0.3235448796106123
Priority,132,3,3.705787456824488,2.107118259272297,-3.9884933794258353,-0.0172893420574173
Bidir,132,3,3.983633600264642,2.1140336328355693,-4.123616157613782,0.0983993166169739
Power,34,2,3.479363568689851,1.5314789170422551,-5.73367227893989,-0.5496990229694091
Priority,34,2,3.235261015039967,1.5269471074147505,-4.099528893971017,-0.8336859362987523
Bidir,34,2,3.47713828554188,1.5314789170422551,-4.255152017729759,-0.5691719569769988
Power,594,3,4.739045866066792,2.773786444981193,-6.5440583648238455,0.7500180867787638
